"","Study","Time","Ab1_r","Ab1_LB","Ab1_UB","Aw1_r","Aw1_LB","Aw1_UB","Cb1_r","Cb1_LB","Cb1_UB","Cp1_r","Cp1_LB","Cp1_UB","Cu1_r","Cu1_LB","Cu1_UB","Cw1_r","Cw1_LB","Cw1_UB","N"
"1","Calanchini","Time1",0.164818551828465,-0.0277224472416775,0.345567331096476,0.358559560155442,0.179210251912791,0.514843039793851,0.764693058597551,0.671437037186919,0.834107299343279,0.771563848580837,0.680537888945239,0.839136005393035,0.708660480636325,0.598253344620144,0.79266195339219,0.726836053264827,0.621792185267835,0.806191410520319,105
"2","Calanchini","Time2",0.286906680434319,0.100783523105523,0.45362696294485,0.562227578927706,0.415316640120631,0.680556415371557,0.89826907759769,0.853558387189227,0.929845625693593,0.827845544922379,0.756159543404098,0.879898053436486,0.852079278887513,0.789321227213289,0.897216520223037,0.909613199581869,0.869545611411834,0.937784019202115,105
"3","Forscher","Time1",0.448405294110369,0.11819126346711,0.689319821084707,0.472162126890019,0.147802348191355,0.704815252767001,0.813393031169645,0.648681514829306,0.905316411883412,0.849849157565243,0.712209373750136,0.924561184170468,0.884183752042047,0.774175465870118,0.942344056824304,0.616396486136952,0.340993530055413,0.794356454285864,32
"4","Forscher","Time2",0.254970562645178,-0.102869165233669,0.554376728504118,0.29633481773144,-0.058392900339262,0.5846199159898,0.808803182075375,0.640842757836257,0.902866433525647,0.809180367046948,0.64148561363127,0.903067998698707,0.882358644885554,0.770827631860152,0.941406975741456,0.70413434473128,0.471111044592514,0.845287156834327,32
"5","Gawronski","Time1",0.556632277574204,0.416592897156742,0.670867073600603,0.37049731217026,0.201812714068671,0.517835277483819,0.713965569473843,0.611208634519531,0.793052316249046,0.651580986103206,0.532525196766125,0.745353985206623,0.678887288701811,0.566714285167479,0.766350796875266,0.725225491616205,0.625630105239255,0.801559393217794,116
"6","Gawronski","Time2",0.668631771685443,0.55382831988527,0.758486806524585,0.432768855473906,0.271905882092262,0.570103735344351,0.881189163510857,0.832640815541403,0.916297596455248,0.884378201124156,0.83702005774595,0.918585061700102,0.789341878560872,0.709067231954511,0.849418548676657,0.866107775908568,0.812012711342664,0.905448745917035,116
"7","Lai1","Time1",-0.347125293580212,-0.526673197799343,-0.137928073962437,0.359005931416395,0.151216980609803,0.536410912397979,0.272046634971141,0.0556565087747264,0.464027125373179,0.550920126061669,0.376815400204539,0.68742648020442,0.564955170552838,0.394166202575034,0.698025966330857,0.509738065979942,0.326599705030087,0.65598581926061,80
"8","Lai1","Time2",0.233959318006683,0.0150142253053575,0.431495279109401,0.252970118596523,0.0352102731026633,0.447797613238034,0.499713593523656,0.314530766308693,0.648254995538165,0.496938989578488,0.311200834190772,0.646109809618051,0.468402120069022,0.277215049066133,0.623908895694665,0.455996186478121,0.262587999500744,0.614178497943587,80
"9","Lai2","Time1",0.76980624371069,0.729878920507275,0.804498786276893,0.737781139688753,0.69326177293471,0.776691197118857,0.834030060146591,0.804008791881168,0.859810127079735,0.754474368623292,0.712319988080972,0.791204976815303,0.805593060291362,0.771070066068409,0.835393798304093,0.81717234644313,0.784460151277642,0.845350118942071,463
"10","Lai2","Time2",0.61407108533582,0.553939537403223,0.667829309702892,0.386965852630649,0.306649370360816,0.461810680295946,0.759856698793367,0.718478132809259,0.795875791446986,0.76440284417772,0.723684622779028,0.799817623425302,0.777489085037263,0.738697607223607,0.811147300656138,0.772781374230368,0.733292323724226,0.807074412259535,463
"11","PI","Time1",0.628440901972113,0.593536538821627,0.660985579086789,0.659063608186539,0.626375928693608,0.689437589316095,0.944535540755555,0.938198262512693,0.950239664961136,0.935857601571978,0.928565221119388,0.942427766597654,0.938749655164903,0.931774485814131,0.945031995984141,0.934850582787168,0.927448004673322,0.941520781680302,1240
"12","PI","Time2",0.704302331915078,0.675102584096214,0.731298748429327,0.697896074909833,0.668186881438444,0.725383124066492,0.955646916673747,0.950546918621747,0.960231685332079,0.948169014715594,0.942234558438359,0.953508396212684,0.944452873996564,0.938106451026393,0.95016528200701,0.950536969351104,0.944865962255924,0.955637970115812,1240
