"","Param","Recov","CI.LB","CI.UB","type","Time"
"1","Cu",0.813248976874651,0.671237027211622,0.897673584730322,0,"Meta"
"2","Calanchini",0.708660480636325,0.598253344620144,0.79266195339219,1,"Time1"
"3","Calanchini",0.852079278887513,0.789321227213289,0.897216520223037,1,"Time2"
"4","Forscher",0.884183752042047,0.774175465870118,0.942344056824304,1,"Time1"
"5","Forscher",0.882358644885554,0.770827631860152,0.941406975741456,1,"Time2"
"6","Gawronski",0.678887288701811,0.566714285167479,0.766350796875266,1,"Time1"
"7","Gawronski",0.789341878560872,0.709067231954511,0.849418548676657,1,"Time2"
"8","Lai1",0.564955170552838,0.394166202575034,0.698025966330857,1,"Time1"
"9","Lai1",0.468402120069022,0.277215049066133,0.623908895694665,1,"Time2"
"10","Lai2",0.805593060291362,0.771070066068409,0.835393798304093,1,"Time1"
"11","Lai2",0.777489085037263,0.738697607223607,0.811147300656138,1,"Time2"
"12","PI",0.938749655164903,0.931774485814131,0.945031995984141,1,"Time1"
"13","PI",0.944452873996564,0.938106451026393,0.95016528200701,1,"Time2"
"14","Cp",0.808291008485588,0.671350862995329,0.89186327794947,0,"Meta"
"15","Calanchini",0.771563848580837,0.680537888945239,0.839136005393035,1,"Time1"
"16","Calanchini",0.827845544922379,0.756159543404098,0.879898053436486,1,"Time2"
"17","Forscher",0.849849157565243,0.712209373750136,0.924561184170468,1,"Time1"
"18","Forscher",0.809180367046948,0.64148561363127,0.903067998698707,1,"Time2"
"19","Gawronski",0.651580986103206,0.532525196766125,0.745353985206623,1,"Time1"
"20","Gawronski",0.884378201124156,0.83702005774595,0.918585061700102,1,"Time2"
"21","Lai1",0.550920126061669,0.376815400204539,0.68742648020442,1,"Time1"
"22","Lai1",0.496938989578488,0.311200834190772,0.646109809618051,1,"Time2"
"23","Lai2",0.754474368623292,0.712319988080972,0.791204976815303,1,"Time1"
"24","Lai2",0.76440284417772,0.723684622779028,0.799817623425302,1,"Time2"
"25","PI",0.935857601571978,0.928565221119388,0.942427766597654,1,"Time1"
"26","PI",0.948169014715594,0.942234558438359,0.953508396212684,1,"Time2"
"27","Cb",0.816251513181089,0.652749886149965,0.907096317043851,0,"Meta"
