"Study","t01","t03","t05","t07","t09","t11","t13","t15"
"Cal.Time1.",0.0449716804324856,0.156088118871605,0.148828999541199,0.157417620187458,0.144847970044187,0.201910767121652,0.329963217348414,0.254411395634173
"Cal.Time2.",0.278607194799769,0.238918839119265,0.335180223629644,0.240234911382559,0.279030973793333,0.359281444359334,0.379658137036468,0.25257643495489
"For.Time1.",0.165948031634571,0.169800099920118,0.312461677907308,0.219101721105957,0.303229946006427,0.260115110864497,0.449279892081896,0.35877853441015
"For.Time2.",0.114037439465526,0.240291193747102,0.356351789489447,0.426112537510028,0.115838240436439,0.172364010447338,0.358371890788042,0.407593974566464
"Gaw.Time1.",0.162823238475931,0.144604604956683,0.112403264767436,0.147966889980323,0.157385850833978,0.166307275915805,0.092098237837914,0.181967839485335
"Gaw.Time2.",0.193276394858853,0.164175574702548,0.219778681279445,0.165168646136982,0.267444865301195,0.21501936543225,0.312052626638359,0.241026086975986
"Lai1.Time1.",0.0488988325138006,0.00680748800912834,0.0489380680607766,0.124604511403465,0.13747102278597,0.0229697145859285,0.163446882992683,0.283102576024895
"Lai1.Time2.",0.078832782474393,0.04878655691215,0.123163880417703,0.0913446095682786,0.0801272870575538,0.0477154410782613,0.218438286423086,0.110230497664123
"Lai2.Time1.",0.225061189424589,0.16829749714461,0.222072675315761,0.207791190926101,0.179080506026208,0.171142060846386,0.210659594750403,0.198021607902119
"Lai2.Time2.",0.207336795471255,0.193619526800745,0.173048419974471,0.192838393770641,0.193612918223892,0.258157963187342,0.220564079059212,0.238470868292003
"PI.Time1.",0.435912477727648,0.427293606781903,0.429917828222929,0.443101858736526,0.533795334918328,0.482536072005367,0.486025318184618,0.502631916731134
"PI.Time2.",0.472096903160352,0.491005767265098,0.509985021916674,0.511708027753834,0.521609671886107,0.481964781344795,0.489285374342794,0.493093851274855
