Study,t01,t03,t05,t07,t09,t11,t13,t15,Average
Cal.Time1.,0.045,0.156,0.149,0.157,0.145,0.202,0.330,0.254,0.180
Cal.Time2.,0.279,0.239,0.335,0.240,0.279,0.359,0.380,0.253,0.295
For.Time1.,0.166,0.170,0.312,0.219,0.303,0.260,0.449,0.359,0.280
For.Time2.,0.114,0.240,0.356,0.426,0.116,0.172,0.358,0.408,0.274
Gaw.Time1.,0.163,0.145,0.112,0.148,0.157,0.166,0.092,0.182,0.146
Gaw.Time2.,0.193,0.164,0.220,0.165,0.267,0.215,0.312,0.241,0.222
Lai1.Time1.,0.049,0.007,0.049,0.125,0.137,0.023,0.163,0.283,0.105
Lai1.Time2.,0.079,0.049,0.123,0.091,0.080,0.048,0.218,0.110,0.100
Lai2.Time1.,0.225,0.168,0.222,0.208,0.179,0.171,0.211,0.198,0.198
Lai2.Time2.,0.207,0.194,0.173,0.193,0.194,0.258,0.221,0.238,0.210
PI.Time1.,0.436,0.427,0.430,0.443,0.534,0.483,0.486,0.503,0.468
PI.Time2.,0.472,0.491,0.510,0.512,0.522,0.482,0.489,0.493,0.496
Average,0.202,0.204,0.249,0.244,0.243,0.237,0.309,0.293,0.248
