"Study","t01","t03","t05","t07","t09","t11","t13","t15"
"Cal.Time1.",0.0961571283329245,0.103415754399834,0.0867387964136619,0.0905052157037495,0.0896197325150299,0.0794389870378706,0.0761688919978724,0.0833952216340526
"Cal.Time2.",0.0786956136173046,0.0807458129224593,0.075846571856176,0.0813942598021919,0.0731242793740196,0.075484811203816,0.0662872833540393,0.0781918469276543
"For.Time1.",0.170042535085815,0.178169306234311,0.163901625252283,0.156558126312098,0.134292377727274,0.147023398395113,0.101583428515001,0.1301649054399
"For.Time2.",0.162401685661937,0.172171998254011,0.13285633938143,0.127717375116864,0.175635440412955,0.160332574738327,0.126569229691994,0.132758176851073
"Gaw.Time1.",0.0884192249569883,0.0903227726777977,0.0893488277383636,0.0886132487976092,0.0822869368489737,0.0869823657162973,0.091659839545707,0.0851132947652734
"Gaw.Time2.",0.0874465894297821,0.0947373699113929,0.0875239915469279,0.0877809554650701,0.0748290544955851,0.0843131826629464,0.068911810563871,0.0716830288667781
"Lai1.Time1.",0.11893731504718,0.10150557308467,0.104978994988395,0.11148243168407,0.0948166713138362,0.10463888833169,0.0996163924018153,0.0868573683713121
"Lai1.Time2.",0.111108699206399,0.107664023461474,0.10695730284008,0.0991621654801174,0.111636850074098,0.114151054513973,0.0883578254177447,0.106968671029766
"Lai2.Time1.",0.0431677975846325,0.0451426619878348,0.0419336728011831,0.0423165849144858,0.0424037953842288,0.0424229462987734,0.0404342367028179,0.0430050488371387
"Lai2.Time2.",0.0414140268089026,0.0411177478653027,0.0443876760788321,0.0396552308027864,0.0368637347693992,0.0388379452704805,0.0384708299226598,0.038301130099717
"PI.Time1.",0.018209149925189,0.0208161173592562,0.0185624606548556,0.0179790802394559,0.0143565519649065,0.0161554855537765,0.0171528683750171,0.0176802160689705
"PI.Time2.",0.0183650545704804,0.0196163619798543,0.0164768836483965,0.016468574475781,0.0164794633855732,0.0187591255949456,0.0163054196809976,0.0175850436731078
