"Study","t01","t03","t05","t07","t09","t11","t13","t15"
"Cal.Time1.",0.0928634984085446,0.135207794497562,0.102693792770456,0.136465922259796,0.176193847195471,0.136119762210565,0.271933156713341,0.249727997882746
"Cal.Time2.",0.27704291241665,0.211316679353922,0.277138919099494,0.215695118661546,0.253196527564508,0.266340711834228,0.376515008016366,0.212413454633924
"For.Time1.",0.231362719343458,0.255731247119496,0.271813294400911,0.264339497027571,0.30897220844968,0.271907047840273,0.353140150842941,0.253653293090706
"For.Time2.",0.304539180635584,0.325042011229517,0.278664945940229,0.34528578163684,0.306922857517022,0.273367791751921,0.275967461084427,0.28826115620086
"Gaw.Time1.",0.125337203023591,0.166721378962986,0.122255746314406,0.165568005474346,0.176518752572455,0.127275456130366,0.0894388078444386,0.11570381606168
"Gaw.Time2.",0.202894275873974,0.186203028330169,0.20201694918473,0.18105242973327,0.227078933018699,0.210469277213157,0.246314993740993,0.29812309853729
"Lai1.Time1.",0.0463120672457384,0.0723636483089505,0.0476312800962673,0.0765249263386726,0.112501966453364,0.101616735856616,0.158876650010273,0.187077830138941
"Lai1.Time2.",0.056469302915994,0.0877305271498458,0.0601198415076682,0.082920240764434,0.113103831507544,0.0728064988873822,0.231058823179575,0.0920447864849507
"Lai2.Time1.",0.188584292246762,0.199506945660349,0.18618097344345,0.196547706278105,0.186583745589457,0.172271734303206,0.187777512564707,0.163277763223055
"Lai2.Time2.",0.200675457656401,0.199890794425544,0.196257464052299,0.20345818544454,0.192403470033572,0.198340795341016,0.220620258314624,0.219945826520372
"PI.Time1.",0.399512983412903,0.422177098075133,0.401642614527733,0.419989514764672,0.492716336973696,0.463238940981441,0.493693364293322,0.494717868991529
"PI.Time2.",0.468753159369375,0.487324601674477,0.468623307700774,0.486597678980892,0.48154113846139,0.473646739938108,0.475458586381066,0.502310869880166
