Study,t01,t03,t05,t07,t09,t11,t13,t15,
Cal.Time1.,0.093,0.135,0.103,0.136,0.176,0.136,0.272,0.250,0.163
Cal.Time2.,0.277,0.211,0.277,0.216,0.253,0.266,0.377,0.212,0.261
For.Time1.,0.231,0.256,0.272,0.264,0.309,0.272,0.353,0.254,0.276
For.Time2.,0.305,0.325,0.279,0.345,0.307,0.273,0.276,0.288,0.300
Gaw.Time1.,0.125,0.167,0.122,0.166,0.177,0.127,0.089,0.116,0.136
Gaw.Time2.,0.203,0.186,0.202,0.181,0.227,0.210,0.246,0.298,0.219
Lai1.Time1.,0.046,0.072,0.048,0.077,0.113,0.102,0.159,0.187,0.100
Lai1.Time2.,0.056,0.088,0.060,0.083,0.113,0.073,0.231,0.092,0.100
Lai2.Time1.,0.189,0.200,0.186,0.197,0.187,0.172,0.188,0.163,0.185
Lai2.Time2.,0.201,0.200,0.196,0.203,0.192,0.198,0.221,0.220,0.204
PI.Time1.,0.400,0.422,0.402,0.420,0.493,0.463,0.494,0.495,0.448
PI.Time2.,0.469,0.487,0.469,0.487,0.482,0.474,0.475,0.502,0.481
,0.216,0.229,0.218,0.231,0.252,0.231,0.282,0.256,0.239
