"Study","t01","t03","t05","t07","t09","t11","t13","t15"
"Cal.Time1.",0.139624194784631,0.202467431973289,0.157464188566927,0.1948449273776,0.25633805924779,0.227368449591489,0.434455634439197,0.352511035139258
"Cal.Time2.",0.328073116505977,0.251060101471039,0.342226385972387,0.257229862300656,0.272744248555269,0.333676108731907,0.439871609127661,0.291574980645834
"For.Time1.",0.298249632906017,0.273184743830288,0.314176992625977,0.327346853285801,0.446717595463232,0.261851056914883,0.486336950266891,0.339687220438732
"For.Time2.",0.37156981144475,0.37845327157702,0.317726982557457,0.48940987983445,0.362579429474323,0.258959753011095,0.462513934861864,0.401165277695899
"Gaw.Time1.",0.220535367205392,0.145113057587656,0.12786165540303,0.28678367747755,0.276392675096218,0.190747315598515,0.220648246071234,0.237478659479186
"Gaw.Time2.",0.229329473862853,0.232325545197017,0.308867796830822,0.235714476604084,0.349669953583543,0.258031809031185,0.368074256633997,0.477320326275448
"Lai1.Time1.",0.113458171276449,0.093876057915038,0.0785292572354767,0.161628119024051,0.185670477263143,0.164528991193806,0.287575642349257,0.32905504024656
"Lai1.Time2.",0.113573575881057,0.158409325578487,0.132060159134681,0.192240015307227,0.167356008182056,0.149145324708267,0.413588251287222,0.226412093278259
"Lai2.Time1.",0.235272124280118,0.22459855230302,0.248561474662414,0.241215313851678,0.258239620061384,0.220485638386686,0.30522131550452,0.244034247481094
"Lai2.Time2.",0.225482946180362,0.230879612308902,0.252329606416221,0.267887014994013,0.260838208921318,0.264086883261932,0.36556072279266,0.341568558366982
"PI.Time1.",0.450052654642228,0.459105585648732,0.43909178592438,0.490772581521119,0.544426746812779,0.505629676999077,0.551518198989324,0.551222020135722
"PI.Time2.",0.514614149954158,0.50586705755398,0.519557466010552,0.540950000465455,0.526570506990852,0.485355927999177,0.516534961501368,0.539742774330552
