"Study","t01","t03","t05","t07","t09","t11","t13","t15"
"Cal.Time1.",0.0936006787156827,0.105453584798464,0.0933153512239009,0.0924486357493419,0.0858908618440936,0.0891228010580591,0.0777674406103541,0.0863259869302768
"Cal.Time2.",0.0798049031729686,0.0762209568771189,0.0831041635545251,0.085973590088996,0.0791584447136963,0.0822459231244035,0.069416468058634,0.0824254774125387
"For.Time1.",0.161408424178013,0.165330348409525,0.165031707054457,0.154374820709779,0.141900759648953,0.155119305207831,0.125182840758405,0.14605097391514
"For.Time2.",0.148189586194486,0.159757896969129,0.160237461077408,0.144594844307881,0.164012351485657,0.145981770403316,0.13506355168065,0.146983840460002
"Gaw.Time1.",0.0870397324451923,0.0863732361048105,0.0906707694470666,0.0848912646036066,0.0865177576301294,0.0870786022765308,0.0904541669090091,0.0907882876970039
"Gaw.Time2.",0.0898562834900081,0.0874909657040718,0.08722591388216,0.0837630107605964,0.0798936803564723,0.0812179583209523,0.074354061893193,0.068330496883197
"Lai1.Time1.",0.11791831461653,0.0970284445446881,0.109178921878602,0.109764370706766,0.098092997014522,0.100724643716051,0.102455507342826,0.0984821533152655
"Lai1.Time2.",0.109935590538006,0.101944203655883,0.107934381197855,0.101162978092124,0.107545214024546,0.111869501754169,0.087149944994791,0.104094780232345
"Lai2.Time1.",0.0458520682224324,0.0420334729544025,0.0433437976151918,0.0429123322044977,0.0415890249932446,0.0421369212412526,0.0401884195913345,0.04279758809413
"Lai2.Time2.",0.0413213602743405,0.0429324023956486,0.0429333607293043,0.0388082464249603,0.0369897749680317,0.0405495247225199,0.038233042483526,0.0391918868252475
"PI.Time1.",0.0200989580522402,0.0201673726640387,0.0187447582321137,0.018278252681666,0.016968199965464,0.0183175101472986,0.0173865520594966,0.0179858210933604
"PI.Time2.",0.0189060639262427,0.0198097244436879,0.0186925311873118,0.0186480831517706,0.0187698687321736,0.0200671095757272,0.0166298678581132,0.0175722096950922
