"","Param","ICC","CI.LB","CI.UB","type"
"1","Ab",0.231756486782209,0.0691218055508722,0.382391295362336,0
"2","Calanchini",0.0293027911069931,-0.16248360818047,0.218955706434753,1
"3","PI",0.258576879737876,0.205889811948876,0.309769150466261,1
"4","Gawronski",0.480696007527679,0.327666933984847,0.609148121797995,1
"5","Forscher",0.122033435870942,-0.231647074243577,0.44721902370016,1
"6","Lai1",-0.00959933811458722,-0.22765224840452,0.209370335358205,1
"7","Lai2",0.365593461881193,0.284001054836982,0.441929127903733,1
"8","Aw",0.233367346437962,0.0819035081369763,0.374294726269499,0
"9","Calanchini",-0.134459449310479,-0.317196106018757,0.0579042693484954,1
"10","PI",0.278872530318332,0.226741607440269,0.32941012082382,1
"11","Gawronski",0.386175455730972,0.219966202682248,0.530595786852634,1
"12","Forscher",0.2987189819751,-0.0504186501531899,0.582795981876382,1
"13","Lai1",0.192625424125526,-0.0270434232033613,0.394547598111163,1
"14","Lai2",0.330816048467399,0.247216473341432,0.409526940094984,1
"15","Cb",0.477154175932333,0.362071984009921,0.577909091932954,0
"16","Calanchini",0.594768570872352,0.455616170696723,0.705546843946742,1
"17","PI",0.477045661076848,0.432887977019516,0.518919426850769,1
"18","Gawronski",0.594086196048452,0.462337984070201,0.700170171383116,1
"19","Forscher",0.4136321768631,0.0812318964531145,0.663230471234092,1
"20","Lai1",0.164953860571177,-0.0555801283077192,0.37014166678233,1
"21","Lai2",0.494530412792199,0.422508190019307,0.56034649300401,1
"22","Cp",0.487450751550782,0.427900339420326,0.542787309918338,0
"23","Calanchini",0.584674764396462,0.443266272157714,0.697689312297365,1
"24","PI",0.47215714139749,0.42774660042149,0.514293621651915,1
"25","Gawronski",0.390624450619176,0.22494630502604,0.534349655907467,1
"26","Forscher",0.528207699706388,0.225157164680101,0.738071502275185,1
"27","Lai1",0.350301836589037,0.142694895261301,0.528383675419005,1
"28","Lai2",0.540039669854731,0.472211918259218,0.601510061854782,1
"29","Cu",0.482853923824596,0.377084474295863,0.576191137710401,0
"30","Calanchini",0.526267498238109,0.372842983277196,0.651681899315714,1
"31","PI",0.480286607390302,0.436298144513551,0.521984849807203,1
"32","Gawronski",0.573850543828686,0.4378505654175,0.684175253458408,1
"33","Forscher",0.522537049479511,0.217708624831218,0.734485030231928,1
"34","Lai1",0.157856657450045,-0.0628416252964451,0.3638360581326,1
"35","Lai2",0.545386047305214,0.478079506466164,0.606324580996477,1
"36","Cw",0.440141051382565,0.282743103279273,0.574457388189487,0
"37","Calanchini",0.407487162065997,0.234878459339177,0.555182558521612,1
"38","PI",0.485062316058813,0.441325513691683,0.526499953161927,1
"39","Gawronski",0.548488723504183,0.407442220079199,0.66397745520185,1
"40","Forscher",0.54069870276743,0.241690316927942,0.745929978129262,1
"41","Lai1",0.0067828771231246,-0.212061922210384,0.224979864578203,1
"42","Lai2",0.550984294098443,0.484229964001902,0.611361129966444,1
