"","Param","ICC","CI.LB","CI.UB","type"
"1","D",0.515164406179059,0.435870455698876,0.586522317956731,0
"2","Calanchini",0.51271567428658,0.35675194745327,0.64087357352938,1
"3","PI",0.479139696320373,0.43509120470829,0.520900176344003,1
"4","Gawronski",0.595615238086082,0.464196499409902,0.70137446442335,1
"5","Forscher",0.674116828838368,0.429821021426553,0.826447814314876,1
"6","Lai1",0.278599484238788,0.0639632584498541,0.468600399225682,1
"7","Lai2",0.56035796423248,0.494543044980885,0.619783359240214,1
"8","ACwg",0.317687805427899,0.169525264885722,0.45180718622246,0
"9","Calanchini",0.576986105504912,0.433894984160615,0.691685769594453,1
"10","PI",0.137405039260989,0.0823852333676677,0.191589805973879,1
"11","Gawronski",0.359768489090614,0.190584105253304,0.50819751567428,1
"12","Forscher",0.270860456346407,-0.080606489896923,0.56242018968101,1
"13","Lai1",0.370100603115269,0.164907573006262,0.544585910761949,1
"14","Lai2",0.201843189345124,0.112871856199314,0.28760349172497,1
"15","OB",0.15999579402497,0.0257563636675919,0.28856728161941,0
"16","Calanchini",0.430651926998747,0.261249519620878,0.5743194242809,1
"17","PI",0.0726724854243498,0.0170918389394346,0.127805383411397,1
"18","Gawronski",0.2174265568447,0.0372593970510105,0.383903671518467,1
"19","Forscher",-0.182794453250601,-0.495592137372505,0.171975536700006,1
"20","Lai1",0.200973257676252,-0.0183637218869291,0.401854754460337,1
"21","Lai2",0.0994219675060312,0.00845291149518168,0.188758906305967,1
"22","ACbb",0.10424499050606,0.0609193230295399,0.147178579540826,0
"23","Calanchini",0.329036221300585,0.147417268800823,0.48918992334536,1
"24","PI",0.0983185807865481,0.0429035541445824,0.153130510957011,1
"25","Gawronski",0.0613546080345528,-0.121639636451725,0.240315095775382,1
"26","Forscher",-0.0336379849771824,-0.373276453870774,0.313951734751365,1
"27","Lai1",0.047948180607837,-0.172388598271912,0.26371540145887,1
"28","Lai2",0.0966542667838234,0.00565849000040464,0.186062498588123,1
"29","G",0.0120636468874538,-0.123908802923712,0.147591413190407,0
"30","Calanchini",0.0717549179734706,-0.12077687964924,0.259083987054615,1
"31","PI",0.167754795413794,0.11316144645139,0.221338258054833,1
"32","Gawronski",0.0940192870226922,-0.0891416808650867,0.271029419918761,1
"33","Forscher",-0.114954702330389,-0.441456998621974,0.238429990841631,1
"34","Lai1",0.0140656194748686,-0.205095262755122,0.231883331585475,1
"35","Lai2",-0.209191845634313,-0.294625973153001,-0.120440176997456,1
